video_id,premise,hypothesis,pair_type
trial_lie_001,"No sir, I did not.",Did you help Grant kill Laura Acrison?,windowed_5
trial_lie_001,"No sir, I did not.",I absolutely did not.,windowed_5
trial_lie_001,"No sir, I did not.",Were you present when Grant killed Laura Acrison?,windowed_5
trial_lie_001,"No sir, I did not.","No sir, I was not.",windowed_5
trial_lie_001,"No sir, I did not.",Did you know that Laura had died before you got to Texas?,windowed_5
trial_lie_001,Did you help Grant kill Laura Acrison?,I absolutely did not.,windowed_5
trial_lie_001,Did you help Grant kill Laura Acrison?,Were you present when Grant killed Laura Acrison?,windowed_5
trial_lie_001,Did you help Grant kill Laura Acrison?,"No sir, I was not.",windowed_5
trial_lie_001,Did you help Grant kill Laura Acrison?,Did you know that Laura had died before you got to Texas?,windowed_5
trial_lie_001,Did you help Grant kill Laura Acrison?,No sir.,windowed_5
trial_lie_001,I absolutely did not.,Were you present when Grant killed Laura Acrison?,windowed_5
trial_lie_001,I absolutely did not.,"No sir, I was not.",windowed_5
trial_lie_001,I absolutely did not.,Did you know that Laura had died before you got to Texas?,windowed_5
trial_lie_001,I absolutely did not.,No sir.,windowed_5
trial_lie_001,Were you present when Grant killed Laura Acrison?,"No sir, I was not.",windowed_5
trial_lie_001,Were you present when Grant killed Laura Acrison?,Did you know that Laura had died before you got to Texas?,windowed_5
trial_lie_001,Were you present when Grant killed Laura Acrison?,No sir.,windowed_5
trial_lie_001,"No sir, I was not.",Did you know that Laura had died before you got to Texas?,windowed_5
trial_lie_001,"No sir, I was not.",No sir.,windowed_5
trial_lie_001,Did you know that Laura had died before you got to Texas?,No sir.,windowed_5
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,"I was heading to the nursery, which is, I know you guys have all seen the layout.",windowed_5
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,windowed_5
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.",windowed_5
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",windowed_5
trial_lie_002,And she approached me and at that time she tripped over the rug and kind of bumped into me.,"and whenever she did, they both went over the chair and landed on the floor.",windowed_5
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.",There was a love seat right there and a rocking chair right next to each other and there's a little wall.,windowed_5
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.","And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.",windowed_5
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.","And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",windowed_5
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.","and whenever she did, they both went over the chair and landed on the floor.",windowed_5
trial_lie_002,"I was heading to the nursery, which is, I know you guys have all seen the layout.","And I just went, I ran to the bedroom with Lily.",windowed_5
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.",windowed_5
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",windowed_5
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,"and whenever she did, they both went over the chair and landed on the floor.",windowed_5
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,"And I just went, I ran to the bedroom with Lily.",windowed_5
trial_lie_002,There was a love seat right there and a rocking chair right next to each other and there's a little wall.,I didn't even stick around to see what happened.,windowed_5
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.","And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",windowed_5
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.","and whenever she did, they both went over the chair and landed on the floor.",windowed_5
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.","And I just went, I ran to the bedroom with Lily.",windowed_5
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.",I didn't even stick around to see what happened.,windowed_5
trial_lie_002,"And whenever she tripped over the rug, she bumped into me and grabbed her and kind of pulled her, was pulling her back and just telling her to chill out.","And when I got to the bedroom, little Grant was trying to come, he was coming out of the door and he asked me what that noise was",windowed_5
trial_lie_002,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it","and whenever she did, they both went over the chair and landed on the floor.",windowed_5
trial_lie_002,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it","And I just went, I ran to the bedroom with Lily.",windowed_5
trial_lie_002,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",I didn't even stick around to see what happened.,windowed_5
trial_lie_002,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it","And when I got to the bedroom, little Grant was trying to come, he was coming out of the door and he asked me what that noise was",windowed_5
trial_lie_002,"And she started fighting him and whenever she did that little wall, but right by the love seat, she kicked it",and I told him that the chair fell and to come back into the bedroom and he asked where his daddy was,windowed_5
trial_lie_002,"and whenever she did, they both went over the chair and landed on the floor.","And I just went, I ran to the bedroom with Lily.",windowed_5
trial_lie_002,"and whenever she did, they both went over the chair and landed on the floor.",I didn't even stick around to see what happened.,windowed_5
trial_lie_002,"and whenever she did, they both went over the chair and landed on the floor.","And when I got to the bedroom, little Grant was trying to come, he was coming out of the door and he asked me what that noise was",windowed_5
trial_lie_002,"and whenever she did, they both went over the chair and landed on the floor.",and I told him that the chair fell and to come back into the bedroom and he asked where his daddy was,windowed_5
trial_lie_002,"and whenever she did, they both went over the chair and landed on the floor.",and I told him he was picking up the chair.,windowed_5
trial_lie_002,"And I just went, I ran to the bedroom with Lily.",I didn't even stick around to see what happened.,windowed_5
trial_lie_002,"And I just went, I ran to the bedroom with Lily.","And when I got to the bedroom, little Grant was trying to come, he was coming out of the door and he asked me what that noise was",windowed_5
trial_lie_002,"And I just went, I ran to the bedroom with Lily.",and I told him that the chair fell and to come back into the bedroom and he asked where his daddy was,windowed_5
trial_lie_002,"And I just went, I ran to the bedroom with Lily.",and I told him he was picking up the chair.,windowed_5
trial_lie_002,I didn't even stick around to see what happened.,"And when I got to the bedroom, little Grant was trying to come, he was coming out of the door and he asked me what that noise was",windowed_5
