video_id,total_pairs,contradictions,inconsistency_score,coherence_score
trial_truth_005,3,3,1.0,0.0
trial_lie_044,1,1,1.0,0.0
trial_truth_023,1,1,1.0,0.0
trial_truth_038,6,5,0.8333,0.1667
trial_lie_038,20,14,0.7,0.3
trial_lie_035,3,2,0.6667,0.3333
trial_lie_051,3,2,0.6667,0.3333
WhatsApp Video 2026-04-20 at 09.13.12_8c0bec5a,3,2,0.6667,0.3333
trial_truth_021,3,2,0.6667,0.3333
trial_lie_043,10,6,0.6,0.4
trial_truth_034,35,20,0.5714,0.4286
trial_truth_029,20,10,0.5,0.5
trial_lie_036,6,3,0.5,0.5
trial_lie_031,6,3,0.5,0.5
trial_truth_031,6,3,0.5,0.5
trial_truth_045,15,7,0.4667,0.5333
trial_lie_040,20,9,0.45,0.55
trial_lie_002,40,17,0.425,0.575
trial_truth_039_fa624338,15,6,0.4,0.6
trial_lie_055,20,8,0.4,0.6
trial_lie_042,10,4,0.4,0.6
trial_truth_041,10,4,0.4,0.6
trial_truth_039,15,6,0.4,0.6
trial_lie_007,45,17,0.3778,0.6222
trial_lie_030,40,15,0.375,0.625
trial_truth_040,25,9,0.36,0.64
trial_truth_012,20,7,0.35,0.65
trial_truth_035,30,10,0.3333,0.6667
trial_lie_013,3,1,0.3333,0.6667
trial_lie_054,15,5,0.3333,0.6667
trial_truth_033,6,2,0.3333,0.6667
trial_lie_011,6,2,0.3333,0.6667
trial_truth_048,15,5,0.3333,0.6667
trial_truth_051,3,1,0.3333,0.6667
trial_lie_039,55,18,0.3273,0.6727
trial_truth_007,95,31,0.3263,0.6737
trial_lie_048,90,29,0.3222,0.6778
trial_truth_010,100,32,0.32,0.68
trial_lie_050,55,17,0.3091,0.6909
trial_truth_006,40,12,0.3,0.7
trial_lie_001,20,6,0.3,0.7
trial_truth_013,40,12,0.3,0.7
trial_truth_044,10,3,0.3,0.7
trial_lie_033,40,11,0.275,0.725
trial_truth_026,30,8,0.2667,0.7333
trial_truth_030,15,4,0.2667,0.7333
trial_truth_047,15,4,0.2667,0.7333
trial_lie_034,25,6,0.24,0.76
trial_lie_017,55,13,0.2364,0.7636
trial_truth_008,30,7,0.2333,0.7667
trial_lie_024,45,10,0.2222,0.7778
trial_lie_052,80,17,0.2125,0.7875
trial_lie_006,10,2,0.2,0.8
trial_lie_047,10,2,0.2,0.8
trial_lie_010,25,5,0.2,0.8
trial_truth_053,35,7,0.2,0.8
trial_truth_036,20,4,0.2,0.8
trial_truth_015,35,7,0.2,0.8
trial_truth_042,35,7,0.2,0.8
trial_lie_018,20,4,0.2,0.8
trial_truth_022,10,2,0.2,0.8
trial_lie_005,65,11,0.1692,0.8308
trial_lie_032,6,1,0.1667,0.8333
trial_truth_059_c5570b54,6,1,0.1667,0.8333
trial_truth_046,6,1,0.1667,0.8333
trial_lie_028,20,3,0.15,0.85
trial_lie_016,20,3,0.15,0.85
trial_lie_046,15,2,0.1333,0.8667
trial_lie_049,15,2,0.1333,0.8667
trial_truth_004,40,5,0.125,0.875
trial_truth_011,65,8,0.1231,0.8769
trial_lie_037,25,3,0.12,0.88
trial_lie_041,10,1,0.1,0.9
trial_lie_056_cc26e06e,20,2,0.1,0.9
trial_lie_023,10,1,0.1,0.9
trial_truth_003,10,1,0.1,0.9
trial_lie_019,20,2,0.1,0.9
trial_truth_002,10,1,0.1,0.9
trial_lie_056,20,2,0.1,0.9
trial_lie_056_cc26e06e_cc26e06e,20,2,0.1,0.9
trial_truth_024,10,1,0.1,0.9
trial_truth_055_3f12ce06,10,1,0.1,0.9
trial_truth_028,10,1,0.1,0.9
trial_truth_027,45,3,0.0667,0.9333
trial_lie_059_1a1d03fc,15,1,0.0667,0.9333
trial_lie_053,15,1,0.0667,0.9333
trial_truth_032,30,1,0.0333,0.9667
trial_lie_008,3,0,0.0,1.0
trial_lie_015,10,0,0.0,1.0
trial_lie_012,1,0,0.0,1.0
trial_lie_022,10,0,0.0,1.0
trial_lie_027,3,0,0.0,1.0
trial_lie_021,3,0,0.0,1.0
trial_lie_026,6,0,0.0,1.0
trial_lie_025,6,0,0.0,1.0
trial_lie_009,3,0,0.0,1.0
trial_truth_009,6,0,0.0,1.0
trial_lie_045,1,0,0.0,1.0
trial_truth_043,3,0,0.0,1.0
trial_truth_025,10,0,0.0,1.0
trial_truth_014,1,0,0.0,1.0
trial_truth_037,1,0,0.0,1.0
trial_truth_020,1,0,0.0,1.0
trial_truth_049,3,0,0.0,1.0
trial_truth_052,1,0,0.0,1.0
trial_truth_050,3,0,0.0,1.0
trial_truth_054,3,0,0.0,1.0
